Timestamp,Temperature,Humidity
2025-06-18 20:01:40,25.0,16.0
2025-06-18 20:01:45,25.0,16.0
2025-06-18 20:01:51,25.0,16.0
2025-06-18 20:01:56,25.0,16.0
2025-06-18 20:02:02,25.0,16.0
2025-06-18 20:02:07,25.0,16.0
2025-06-18 20:02:13,25.0,16.0
2025-06-18 20:02:18,25.0,16.0
2025-06-18 20:02:23,25.0,16.0
2025-06-18 20:02:29,25.0,16.0
2025-06-18 20:02:34,25.0,16.0
2025-06-18 20:02:41,25.0,16.0
2025-06-18 20:02:46,25.0,16.0
2025-06-18 20:02:52,25.0,16.0
2025-06-18 20:02:57,25.0,16.0
2025-06-18 20:03:02,25.0,16.0
2025-06-18 20:03:08,25.0,16.0
2025-06-18 20:03:13,25.0,16.0
2025-06-18 20:03:19,25.0,16.0
2025-06-18 20:03:24,25.0,16.0
2025-06-18 20:03:31,25.0,16.0
2025-06-18 20:03:36,25.0,16.0
2025-06-18 20:03:41,25.0,16.0
2025-06-18 20:03:47,25.0,16.0
2025-06-18 20:03:52,25.0,16.0
2025-06-18 20:03:58,25.0,16.0
2025-06-18 20:04:03,25.0,16.0
2025-06-18 20:04:09,25.0,16.0
2025-06-18 20:04:14,25.0,16.0
2025-06-18 20:04:20,25.0,16.0
2025-06-18 20:04:26,25.0,16.0
2025-06-18 20:04:31,25.0,16.0
2025-06-18 20:04:37,25.0,16.0
2025-06-18 20:04:42,25.0,16.0
2025-06-18 20:04:48,25.0,16.0
2025-06-18 20:04:53,25.0,16.0
2025-06-18 20:04:58,25.0,16.0
